Symbol,ID
XYLT1,ENSMUSG00000030657
XYLT2,ENSMUSG00000020868
FAM20B,ENSMUSG00000033557
B4GALT1,ENSMUSG00000028413
B4GALT2,ENSMUSG00000028541
B4GALT3,ENSMUSG00000052423
B4GALT4,ENSMUSG00000022793
B4GALT5,ENSMUSG00000017929
B4GALT6,ENSMUSG00000056124
B3GALT7,ENSMUSG00000021504
B3GAT1,ENSMUSG00000045994
B3GAT2,ENSMUSG00000026156
B3GAT3,ENSMUSG00000071649
EXTL1,ENSMUSG00000028838
EXTL2,ENSMUSG00000027963
EXTL3,ENSMUSG00000021978
EXT1,ENSMUSG00000061731
EXT2,ENSMUSG00000027198
NDST1,ENSMUSG00000054008
NDST2,ENSMUSG00000039308
NDST3,ENSMUSG00000027977
NDST4,ENSMUSG00000027971
GLCE,ENSMUSG00000032252
HS2ST1,ENSMUSG00000040151
HS6ST1,ENSMUSG00000045216
HS6ST2,ENSMUSG00000062184
HS6ST3,ENSMUSG00000053465
HS3ST1,ENSMUSG00000051022
HS3ST2,ENSMUSG00000046321
HS3ST3A1,ENSMUSG00000047759
HS3ST3B1,ENSMUSG00000070407
HS3ST4,ENSMUSG00000078591
HS3ST5,ENSMUSG00000044499
HS3ST6,ENSMUSG00000039628
SULF1,ENSMUSG00000016918
SULF2,ENSMUSG00000006800
DSE,ENSMUSG00000039497
UST,ENSMUSG00000047712
HPSE1,ENSMUSG00000035273
HPSE2,ENSMUSG00000074852